CafeName,Location,Open,Close,Coffee,Wifi,Power
Lighthaus,https://goo.gl/maps/2EvhB4oq4gyUXKXx9,11AM, 3:30PM,☕☕☕☕️,💪💪,🔌🔌🔌
Esters,https://goo.gl/maps/13Tjc36HuPWLELaSA,8AM,3PM,☕☕☕☕,💪💪💪,🔌
Ginger & White,https://goo.gl/maps/DqMx2g5LiAqv3pJQ9,7:30AM,5:30PM,☕☕☕,✘,🔌
Mare Street Market,https://goo.gl/maps/ALR8iBiNN6tVfuAA8,8AM,1PM,☕☕,💪💪💪,🔌🔌🔌
starbucks,https://www.bing.com/search?pglt=41&q=starbucks+near+me&cvid=763c427fa54946b2a889cdba54c68853&gs_lcrp=EgZjaHJvbWUqBAgAEAAyBAgAEAAyBggBEEUYOTIECAIQADIECAMQADIECAQQADIECAUQADIECAYQADIECAcQADIECAgQANIBCDUzNDhqMGoxqAIAsAIA&FORM=ANSPA1&PC=ASTS,6AM,9:30PM,☕️☕️☕️☕️☕️,💪💪💪💪,🔌🔌🔌
Cora,"https://www.google.com/maps/place/Cora+Breakfast+and+Lunch/@43.524989,-80.221646,14z/data=!4m6!3m5!1s0x882b9b32af08f425:0x455821bf9ec9dfb9!8m2!3d43.524989!4d-80.221646!16s%2Fg%2F1tfrmzvl?hl=en-US&entry=ttu",6AM,3PM,☕️☕️☕️☕️,✘,✘
yash,https://www.w3schools.com/python/python_file_write.asp,hahah,9:30PM,☕️☕️☕️,💪💪💪,🔌🔌🔌🔌
cora,"https://www.google.com/maps/place/Cora+Breakfast+and+Lunch/@43.524989,-80.221646,14z/data=!4m6!3m5!1s0x882b9b32af08f425:0x455821bf9ec9dfb9!8m2!3d43.524989!4d-80.221646!16s%2Fg%2F1tfrmzvl?hl=en-US&entry=ttu",6AM,3PM,☕️,✘,✘
Cora,"https://www.google.com/maps/place/Cora+Breakfast+and+Lunch/@43.524989,-80.221646,14z/data=!4m6!3m5!1s0x882b9b32af08f425:0x455821bf9ec9dfb9!8m2!3d43.524989!4d-80.221646!16s%2Fg%2F1tfrmzvl?hl=en-US&entry=ttu",6AM,3PM,☕️☕️☕️☕️,💪💪,🔌🔌
Hiral,https://www.w3schools.com/python/python_file_write.asp,9AM,9PM,☕️☕️☕️☕️☕️,💪💪💪💪💪,🔌🔌🔌🔌🔌
ayushi,https://www.bing.com/maps?mepi=23%7E%7ETopOfPage%7ELargeMapLink&ty=18&q=101+Galbraith+Ave%2C+East+York%2C+ON+M4B+2B8&ppois=43.7140716_-79.2995942_101+Galbraith+Ave%2C+East+York%2C+ON+M4B+2B8_%7E&cp=43.714046%7E-79.299316&v=2&sV=1&FORM=MIRE&qpvt=101+galbraith+avenue&lvl=11.0,8,8,☕️☕️☕️☕️☕️,💪💪💪💪,🔌🔌
